AQIID,CityID,Date,AQI,AQICategory,PM2_5,PM10,CO_mg_m3,NO2_ug_m3,SO2_ug_m3,O3_ug_m3
1,1,2025-07-15,219,Unhealthy,127.8,195.5,1.27,44.8,12.3,27.3
2,1,2025-07-16,122,Poor,58.1,94.1,1.02,45.3,6.1,22.7
3,1,2025-07-17,146,Poor,66.9,97.0,2.0,21.7,3.6,32.3
4,1,2025-07-18,171,Poor,89.3,133.8,1.2,32.3,17.1,26.7
5,1,2025-07-19,163,Poor,91.0,159.3,1.48,15.4,20.9,19.5
6,1,2025-07-20,230,Unhealthy,118.9,192.2,0.2,17.2,13.8,33.3
7,1,2025-07-21,147,Poor,85.7,138.0,0.58,16.0,8.9,22.9
8,1,2025-07-22,195,Poor,103.4,167.6,1.22,14.2,17.6,26.9
9,1,2025-07-23,185,Poor,95.8,152.1,0.99,38.3,19.0,20.5
10,1,2025-07-24,157,Poor,76.5,118.9,1.56,37.4,6.7,23.0
11,1,2025-07-25,190,Poor,113.1,194.1,0.24,35.5,4.4,19.3
12,1,2025-07-26,272,Unhealthy,144.8,228.4,1.36,44.4,22.0,20.8
13,1,2025-07-27,148,Poor,81.1,135.8,0.2,47.9,12.6,28.7
14,1,2025-07-28,182,Poor,107.4,167.7,1.39,46.6,9.2,36.1
15,1,2025-07-29,209,Unhealthy,111.6,189.2,1.15,29.6,13.1,19.5
16,1,2025-07-30,168,Poor,86.8,150.7,2.03,27.3,8.2,30.9
17,1,2025-07-31,131,Poor,71.2,116.5,0.71,43.7,6.8,14.4
18,1,2025-08-01,73,Moderate,39.0,59.3,0.47,35.6,12.7,12.7
19,1,2025-08-02,172,Poor,94.3,144.8,0.74,30.4,10.0,8.0
20,1,2025-08-03,150,Poor,88.4,124.9,0.51,40.4,14.0,28.6
21,1,2025-08-04,164,Poor,85.5,135.0,1.21,40.8,13.0,35.8
22,1,2025-08-05,182,Poor,81.6,128.9,2.01,39.9,1,30.5
23,1,2025-08-06,183,Poor,94.0,162.2,0.99,35.8,9.6,43.9
24,1,2025-08-07,152,Poor,66.0,94.6,0.65,37.3,22.4,28.3
25,1,2025-08-08,143,Poor,80.9,130.4,0.62,31.9,11.8,13.9
26,1,2025-08-09,141,Poor,70.6,126.5,0.27,47.7,9.4,27.5
27,1,2025-08-10,138,Poor,66.1,101.4,1.19,11.0,18.0,18.5
28,1,2025-08-11,165,Poor,96.8,157.4,0.82,37.8,19.6,18.9
29,1,2025-08-12,144,Poor,66.8,113.4,1.81,18.8,4.0,13.4
30,1,2025-08-13,166,Poor,78.1,109.7,1.45,37.6,15.8,13.2
31,1,2025-08-14,127,Poor,64.7,91.2,0.57,24.8,10.9,23.0
32,1,2025-08-15,194,Poor,85.8,136.7,1.0,45.9,9.2,29.0
33,1,2025-08-16,140,Poor,82.4,115.9,1.06,32.4,16.7,32.0
34,1,2025-08-17,105,Poor,61.7,93.9,1.11,47.2,19.4,29.3
35,1,2025-08-18,112,Poor,47.4,72.9,1.36,27.1,15.6,21.3
36,1,2025-08-19,170,Poor,77.7,130.7,0.56,41.4,13.4,28.8
37,1,2025-08-20,175,Poor,80.5,143.3,0.78,28.8,11.1,26.5
38,1,2025-08-21,155,Poor,89.1,145.1,0.72,10.0,6.9,37.1
39,1,2025-08-22,151,Poor,73.6,113.3,1.38,26.5,2.0,38.9
40,1,2025-08-23,85,Moderate,49.6,73.9,0.95,28.2,12.8,36.2
41,1,2025-08-24,173,Poor,81.8,139.8,1.29,39.7,10.9,43.7
42,1,2025-08-25,174,Poor,77.8,110.9,1.13,25.0,10.0,23.0
43,1,2025-08-26,153,Poor,85.2,140.8,1.66,32.0,7.1,28.2
44,1,2025-08-27,208,Unhealthy,115.2,194.9,1.08,43.3,18.6,19.3
45,1,2025-08-28,214,Unhealthy,123.0,207.8,1.17,45.1,7.4,27.0
46,1,2025-08-29,119,Poor,51.5,78.6,0.91,52.3,6.2,39.5
47,1,2025-08-30,204,Unhealthy,120.2,178.4,1.27,33.0,12.0,5.8
48,1,2025-08-31,111,Poor,64.1,114.6,1.95,28.3,20.5,40.7
49,1,2025-09-01,166,Poor,76.2,125.1,1.66,28.5,6.3,24.9
50,1,2025-09-02,172,Poor,77.5,116.6,0.2,56.3,9.5,33.3
51,1,2025-09-03,178,Poor,86.2,125.1,1.41,23.4,15.4,14.5
52,1,2025-09-04,197,Poor,85.2,145.0,1.38,27.6,3.7,28.2
53,1,2025-09-05,134,Poor,61.1,86.4,0.93,49.4,14.4,10.5
54,1,2025-09-06,158,Poor,67.0,118.0,1.0,30.8,9.0,38.0
55,1,2025-09-07,169,Poor,77.0,119.6,1.06,39.7,11.3,36.7
56,1,2025-09-08,108,Poor,52.9,93.0,0.71,55.2,11.8,32.7
57,1,2025-09-09,171,Poor,101.5,169.8,1.39,18.0,12.0,13.6
58,1,2025-09-10,124,Poor,67.9,102.8,1.41,34.2,6.9,11.9
59,1,2025-09-11,165,Poor,73.2,123.9,0.91,31.5,12.3,18.5
60,1,2025-09-12,137,Poor,66.5,93.7,1.29,49.0,13.3,35.0
61,1,2025-09-13,136,Poor,58.9,103.6,1.32,42.3,5.2,46.0
62,1,2025-09-14,161,Poor,73.5,122.8,0.98,43.7,12.3,20.1
63,1,2025-09-15,171,Poor,72.6,111.9,0.69,32.8,16.3,25.7
64,1,2025-09-16,172,Poor,75.6,130.6,0.89,37.9,17.2,34.5
65,1,2025-09-17,225,Unhealthy,106.2,151.8,0.8,52.8,12.4,27.2
66,1,2025-09-18,178,Poor,105.7,163.3,1.39,45.7,17.1,28.4
67,1,2025-09-19,112,Poor,56.2,84.8,0.95,54.4,4.1,24.5
68,1,2025-09-20,124,Poor,61.3,89.5,1.23,44.5,10.9,22.0
69,1,2025-09-21,130,Poor,76.3,129.2,0.79,35.1,17.1,32.1
70,1,2025-09-22,182,Poor,78.4,122.6,0.26,43.4,8.2,31.6
71,1,2025-09-23,183,Poor,91.7,147.0,0.86,47.1,17.0,25.4
72,1,2025-09-24,193,Poor,114.6,189.8,0.78,37.6,6.7,2.9
73,1,2025-09-25,148,Poor,64.9,92.8,1.63,25.4,14.3,32.4
74,1,2025-09-26,146,Poor,83.7,141.5,1.41,26.8,11.4,46.3
75,1,2025-09-27,163,Poor,87.6,130.7,1.09,19.8,3.4,23.8
76,1,2025-09-28,141,Poor,61.7,91.1,0.41,50.6,11.2,21.4
77,1,2025-09-29,190,Poor,76.6,114.7,1.37,42.9,12.9,25.0
78,1,2025-09-30,138,Poor,60.7,100.9,1.27,18.0,13.7,25.1
79,1,2025-10-01,195,Poor,88.9,153.5,1.14,41.9,16.4,8.4
80,1,2025-10-02,143,Poor,82.1,122.2,0.5,31.7,18.2,20.6
81,1,2025-10-03,145,Poor,61.2,92.4,1.3,54.1,5.0,16.4
