WeatherID,CityID,Date,Temperature_C,FeelsLike_C,Humidity_pct,WindSpeed_kmh,Pressure_mb,Visibility_km,CloudCover_pct,Precipitation_mm,UVIndex,Condition
1,1,2025-07-15,27.7,26.3,58,15.5,1010.2,5.3,53,2.4,5,Sunny
2,1,2025-07-16,27.0,25.6,62,14.3,1019.2,7.3,40,0,3,Sunny
3,1,2025-07-17,28.5,30.5,55,14.5,1016.2,8.4,54,5.5,7,Heavy Rain
4,1,2025-07-18,28.1,29.3,43,16.8,1010.0,4.5,30,0,2,Cloudy
5,1,2025-07-19,28.0,26.7,62,16.1,1014.8,9.9,61,6.9,4,Partly Cloudy
6,1,2025-07-20,25.5,25.3,49,18.7,1007.6,7.8,35,3.5,4,Partly Cloudy
7,1,2025-07-21,29.4,31.1,39,9.3,1016.7,5.4,46,5.5,4,Sunny
8,1,2025-07-22,29.2,32.1,71,9.1,1019.0,4.6,79,0,5,Sunny
9,1,2025-07-23,27.3,27.1,32,6.6,1007.6,10.0,75,3.9,6,Sunny
10,1,2025-07-24,27.6,30.1,63,10.4,1012.0,2.9,100,0,4,Thunderstorm
11,1,2025-07-25,24.6,26.7,52,6.4,1010.1,12.6,65,8.1,0,Thunderstorm
12,1,2025-07-26,25.8,26.8,71,16.8,1022.9,10.4,30,0,3,Sunny
13,1,2025-07-27,28.3,29.5,63,6.0,1016.3,9.0,100,5.7,8,Partly Cloudy
14,1,2025-07-28,24.8,27.7,40,14.0,1010.2,8.1,46,4.7,2,Sunny
15,1,2025-07-29,26.9,28.1,57,22.1,1007.3,9.8,6,1.6,6,Clear
16,1,2025-07-30,27.7,28.4,72,9.5,1010.7,9.4,67,0.3,4,Sunny
17,1,2025-07-31,24.9,26.6,64,22.8,1012.5,8.3,48,12.9,5,Foggy
18,1,2025-08-01,26.4,27.3,68,14.0,1000.4,9.4,56,0,6,Partly Cloudy
19,1,2025-08-02,27.1,29.0,67,11.8,1006.5,10.3,57,0.5,6,Partly Cloudy
20,1,2025-08-03,24.9,24.6,75,16.8,1008.0,11.0,21,25.7,7,Heavy Rain
21,1,2025-08-04,28.3,31.4,65,9.5,1006.9,9.2,38,5.2,1,Sunny
22,1,2025-08-05,27.4,28.2,90,2,1018.0,12.2,44,3.3,4,Sunny
23,1,2025-08-06,28.3,29.7,36,9.8,1018.4,10.2,0,3.8,8,Sunny
24,1,2025-08-07,24.4,25.9,92,10.3,1007.1,12.8,81,4.2,8,Cloudy
25,1,2025-08-08,25.6,27.0,25,10.3,1013.7,12.8,47,10.0,4,Partly Cloudy
26,1,2025-08-09,27.3,26.2,49,2,1016.6,10.0,45,5.1,7,Foggy
27,1,2025-08-10,27.9,30.8,54,14.1,1015.7,5.6,0,0,5,Heavy Rain
28,1,2025-08-11,25.0,26.8,58,14.5,1009.8,9.9,53,0,4,Cloudy
29,1,2025-08-12,27.1,26.6,52,9.1,998.0,9.4,51,1.8,4,Sunny
30,1,2025-08-13,27.4,29.1,66,11.4,1020.8,6.5,37,6.4,5,Thunderstorm
31,1,2025-08-14,28.0,29.2,70,6.3,1012.9,10.0,26,16.0,6,Thunderstorm
32,1,2025-08-15,24.6,24.3,31,18.9,1017.3,10.9,28,1.5,4,Foggy
33,1,2025-08-16,27.8,31.2,72,2.4,1020.7,9.6,16,16.1,6,Heavy Rain
34,1,2025-08-17,24.8,27.2,32,19.9,1018.6,10.1,31,6.7,3,Partly Cloudy
35,1,2025-08-18,27.5,27.1,70,12.5,1005.3,13.4,65,3.0,4,Clear
36,1,2025-08-19,26.2,29.4,48,21.9,1021.6,11.8,100,3.7,6,Partly Cloudy
37,1,2025-08-20,27.1,27.2,46,8.3,1005.1,11.2,44,13.4,10,Cloudy
38,1,2025-08-21,27.1,29.3,60,9.7,1006.0,12.3,61,1.5,7,Heavy Rain
39,1,2025-08-22,27.1,27.1,54,16.8,1006.9,10.2,63,8.5,8,Foggy
40,1,2025-08-23,26.6,26.6,52,11.9,1010.9,8.4,71,0,4,Partly Cloudy
